任务ID	任务名称	开始时间	结束时间	工期(月)	前置任务	责任方/备注
1	项目启动与准备阶段	M0	M1	2		
1.1	项目立项与团队组建	M0	M0+0.5	0.5		甲方、乙方
1.2	需求调研与分析	M0+0.5	M1	0.5	1.1	乙方（输出《需求分析说明书》）
1.3	技术方案与架构设计	M1	M1+0.5	0.5	1.2	乙方（输出《技术方案》等）
2	系统设计与开发阶段	M1.5	M6	4.5		
2.1	移动端（APP）开发	M1.5	M4	2.5	1.3	乙方
2.2	PC端后台系统开发	M2	M5	3	1.3	乙方
2.3	AI算法模型开发与集成	M1.5	M4.5	3	1.3	乙方（模型训练与规则引擎开发并行）
2.4	数据对接与接口开发	M3	M5	2	2.1, 2.2, 2.3	乙方、甲方配合
3	系统测试与优化阶段	M5	M7	3		
3.1	单元测试	M5	M5.5	0.5	2.1, 2.2, 2.3	乙方
3.2	集成测试	M5.5	M6	0.5	3.1, 2.4	乙方
3.3	系统测试	M6	M6.5	0.5	3.2	乙方（功能、性能、安全）
3.4	用户验收测试（UAT）	M6.5	M7	0.5	3.3	甲方、乙方
3.5	问题修复与系统优化	M6	M7	1	3.3, 3.4	乙方（与测试同步进行）
4	试运行与上线阶段	M7	M9	3		
4.1	系统部署与数据初始化	M7	M7+0.5	0.5	3.5	乙方、甲方配合
4.2	用户培训	M7+0.5	M8	0.5	4.1	乙方
4.3	试运行（监控与问题收集）	M8	M9	2	4.2	甲方（日常使用），乙方（支持）
4.4	试运行报告与系统调优	M9	M9+0.5	0.5	4.3	乙方（输出《试运行报告》）
5	项目验收与交付阶段	M9.5	M10	1.5		
5.1	准备验收材料	M9	M9.5	0.5	4.4	乙方（整理所有文档）
5.2	系统初验	M9.5	M9.5+0.5	0.5	5.1	甲方、乙方（签署《初验报告》）
5.3	系统终验	M10	M10+0.5	0.5	5.2	甲方、乙方（签署《终验报告》）
5.4	项目交付与知识转移	M10+0.5	M11	0.5	5.3	乙方（交付源代码、文档，完成培训）
6	免费维保期开始	M11	M59	48	5.3	自终验合格次日开始计算，为期48个月。
